yearID,lgID,G,W,WIN PCT,R,AB,H,HR,BB,SO,SB,RA,ERA,HA,E,FP,RUNDIFF
2000,AL,162,82,0.50617284,864,5628,1574,236,608,1024,93,869,5,1534,134,0.978,0
2000,NL,162,85,0.524691358,792,5527,1466,179,535,975,97,754,4.35,1441,107,0.982,1
2000,NL,162,95,0.586419753,810,5489,1490,179,595,1010,148,714,4.05,1428,129,0.979,1
2000,AL,162,74,0.456790123,794,5549,1508,184,558,900,126,913,5.37,1547,116,0.981,0
2000,AL,162,85,0.524691358,792,5630,1503,167,611,1019,43,745,4.23,1433,109,0.982,1
2000,AL,162,95,0.586419753,978,5646,1615,216,591,960,119,839,4.66,1509,133,0.978,1
2000,NL,162,65,0.401234568,764,5577,1426,183,632,1120,93,904,5.25,1505,100,0.983,0
2000,NL,163,85,0.521472393,825,5635,1545,200,559,995,100,765,4.33,1446,111,0.982,1
2000,AL,162,90,0.555555556,950,5683,1639,221,685,1057,113,816,4.84,1511,72,0.988,1
2000,NL,162,82,0.50617284,968,5660,1664,161,601,907,131,897,5.26,1568,94,0.985,1
2000,AL,162,79,0.487654321,823,5644,1553,177,562,982,83,827,4.71,1583,105,0.983,0
2000,NL,161,79,0.49068323,731,5509,1441,160,540,1184,168,797,4.59,1477,125,0.98,0
2000,NL,162,72,0.444444444,938,5570,1547,249,673,1129,114,944,5.42,1596,133,0.978,0
2000,AL,162,77,0.475308642,879,5709,1644,150,511,840,121,930,5.48,1585,102,0.983,0
2000,NL,162,86,0.530864198,798,5481,1408,211,668,1083,95,729,4.1,1379,135,0.978,1
2000,NL,163,73,0.447852761,740,5563,1366,177,620,1245,72,826,4.63,1501,118,0.981,0
2000,AL,162,69,0.425925926,748,5615,1516,116,556,1021,90,880,5.14,1634,102,0.983,0
2000,NL,162,67,0.413580247,738,5535,1475,178,476,1048,58,902,5.13,1575,132,0.978,0
2000,AL,161,87,0.540372671,871,5556,1541,205,631,1007,99,814,4.76,1458,109,0.981,1
2000,NL,162,94,0.580246914,807,5486,1445,198,675,1037,66,738,4.16,1398,118,0.98,1
2000,AL,161,91,0.565217391,947,5560,1501,239,750,1159,40,813,4.58,1535,134,0.978,1
2000,NL,162,65,0.401234568,708,5511,1386,144,611,1117,102,830,4.77,1458,100,0.983,0
2000,NL,162,69,0.425925926,793,5643,1506,168,564,1032,86,888,4.94,1554,132,0.979,0
2000,NL,162,76,0.469135802,752,5560,1413,157,602,1177,131,815,4.52,1443,141,0.977,0
2000,AL,162,91,0.561728395,907,5497,1481,198,775,1073,122,780,4.49,1442,99,0.984,1
2000,NL,162,97,0.598765432,925,5519,1535,226,709,1032,79,747,4.21,1452,93,0.985,1
2000,NL,162,95,0.586419753,887,5478,1481,235,675,1253,87,771,4.38,1403,111,0.981,1
2000,AL,161,69,0.428571429,733,5505,1414,162,558,1022,90,842,4.86,1553,118,0.981,0
2000,AL,162,71,0.438271605,848,5648,1601,173,580,922,69,974,5.52,1683,135,0.978,0
2000,AL,162,83,0.512345679,861,5677,1562,244,526,1026,89,908,5.14,1615,100,0.984,0
2001,AL,162,75,0.462962963,691,5551,1447,158,494,1001,116,730,4.2,1452,103,0.983,0
2001,NL,162,92,0.567901235,818,5595,1494,208,587,1052,71,677,3.87,1352,84,0.986,1
2001,NL,162,88,0.543209877,729,5498,1432,174,493,1039,85,643,3.59,1363,103,0.983,1
2001,AL,162,63,0.388888889,687,5472,1359,136,514,989,133,829,4.67,1504,125,0.979,0
2001,AL,161,82,0.50931677,772,5605,1493,198,520,1131,46,745,4.15,1412,113,0.981,1
2001,AL,162,83,0.512345679,798,5464,1463,214,520,998,123,795,4.55,1465,118,0.981,1
2001,NL,162,88,0.543209877,777,5406,1409,194,577,1077,67,701,4.03,1357,109,0.982,1
2001,NL,162,66,0.407407407,735,5583,1464,176,468,1172,103,850,4.77,1572,138,0.978,0
2001,AL,162,91,0.561728395,897,5600,1559,212,577,1076,79,821,4.64,1512,107,0.982,1
2001,NL,162,73,0.450617284,923,5690,1663,213,511,1027,132,906,5.29,1522,96,0.984,1
2001,AL,162,66,0.407407407,724,5537,1439,139,466,972,133,876,5.01,1624,131,0.979,0
2001,NL,162,76,0.469135802,742,5542,1461,166,470,1145,89,744,4.32,1397,103,0.983,0
2001,NL,162,93,0.574074074,847,5528,1500,208,581,1119,64,769,4.37,1453,110,0.982,1
2001,AL,162,65,0.401234568,729,5643,1503,152,406,898,100,858,4.87,1537,117,0.981,0
2001,NL,162,86,0.530864198,758,5493,1399,206,519,1062,89,744,4.25,1387,116,0.981,1
2001,NL,162,68,0.419753086,740,5488,1378,209,488,1399,66,806,4.64,1452,103,0.983,0
2001,AL,162,85,0.524691358,771,5560,1514,164,495,1083,146,766,4.51,1494,108,0.982,1
2001,NL,162,68,0.419753086,670,5379,1361,131,478,1071,101,812,4.68,1509,108,0.982,0
2001,AL,161,95,0.590062112,804,5577,1488,203,519,1035,161,713,4.02,1429,109,0.982,1
2001,NL,162,82,0.50617284,642,5459,1361,147,545,1062,66,713,4.07,1418,101,0.983,0
2001,AL,162,102,0.62962963,884,5573,1469,199,640,1021,68,645,3.59,1384,125,0.98,1
2001,NL,162,86,0.530864198,746,5497,1431,164,551,1125,153,719,4.15,1417,91,0.985,1
2001,NL,162,62,0.382716049,657,5398,1333,161,467,1106,93,858,5.05,1493,133,0.978,0
2001,NL,162,79,0.487654321,789,5482,1379,161,678,1273,129,812,4.52,1519,145,0.976,0
2001,AL,162,116,0.716049383,927,5680,1637,169,614,989,174,627,3.54,1293,83,0.986,1
2001,NL,162,90,0.555555556,799,5612,1493,235,625,1090,57,748,4.18,1437,118,0.981,1
2001,NL,162,93,0.574074074,814,5450,1469,199,529,1089,91,684,3.93,1389,110,0.982,1
2001,AL,162,62,0.382716049,672,5524,1426,121,456,1116,115,887,4.94,1513,139,0.977,0
2001,AL,162,73,0.450617284,890,5685,1566,246,548,1093,97,968,5.71,1670,114,0.981,0
2001,AL,162,80,0.49382716,767,5663,1489,195,470,1094,156,753,4.28,1553,97,0.985,1
2002,AL,162,99,0.611111111,851,5678,1603,152,462,805,117,644,3.69,1345,87,0.986,1
2002,NL,162,98,0.604938272,819,5508,1471,165,643,1016,92,674,3.92,1361,89,0.985,1
2002,NL,161,101,0.627329193,708,5495,1428,164,558,1028,76,565,3.13,1302,114,0.982,1
2002,AL,162,67,0.413580247,667,5491,1353,165,452,993,110,773,4.46,1491,91,0.985,0
2002,AL,162,93,0.574074074,859,5640,1560,177,545,944,80,665,3.75,1339,104,0.983,1
2002,AL,162,81,0.5,856,5502,1475,217,555,952,75,798,4.53,1422,97,0.984,1
2002,NL,162,67,0.413580247,706,5496,1351,200,585,1269,63,759,4.29,1373,114,0.981,0
2002,NL,162,78,0.481481481,709,5470,1386,169,583,1188,116,774,4.27,1502,120,0.981,0
2002,AL,162,74,0.456790123,739,5423,1349,192,542,1000,52,837,4.91,1508,113,0.981,0
